OldName,NewName,status,details,phase,customer_id
Friendly s Kent Island Grill,Friendly's Kent Island Grill,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Nicky s Pizza Time,Nicky's Pizza Time,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Lucy s Income Tax & Bookkeeping Services,Lucy's Income Tax & Bookkeeping Services,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
DB s Pizza,DB's Pizza,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Kely s Crepes & Burgers,Kely's Crepes & Burgers,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Original Pete s Pizza Pasta & Grill -CP,Original Pete's Pizza Pasta & Grill -CP,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Leonard s Diesel Repair Inc,Leonard's Diesel Repair Inc,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Rudy s LCLCTS Inc,Rudy's LCLCTS Inc,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Red s Watering Hole,Red's Watering Hole,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
MILLER s GROCERY,MILLER'S GROCERY,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Sam s China Bistro,Sam's China Bistro,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Eric s Mobile Glass 2,Eric's Mobile Glass 2,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Mustafa s Place Spencer,Mustafa's Place Spencer,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Everyone s Market 6,Everyone's Market 6,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
WHITMORE s TOWING AND FLEET SERVICE - Dual,WHITMORE'S TOWING AND FLEET SERVICE - Dual,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Doug s Tire Service,Doug's Tire Service,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
General Tso s Inn,General Tso's Inn,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Yazzy s Market Plattsburgh - 53171,Yazzy's Market Plattsburgh - 53171,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Don Jose s Kitchen,Don Jose's Kitchen,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Fino s Pizzeria and Restaurant,Fino's Pizzeria and Restaurant,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Heidi s Souper Salads & More,Heidi's Souper Salads & More,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Yazzy s Market Ravena,Yazzy's Market Ravena,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Noah s Solutions Inc,Noah's Solutions Inc,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Mustafa s Place,Mustafa's Place,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Everyone s Market 5,Everyone's Market 5,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Loretta s,Loretta's,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Yazzy s Market Mechanicville,Yazzy's Market Mechanicville,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Kreeger s Country Market,Kreeger's Country Market,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Sandy s 09CR - Retail,Sandy's 09CR - Retail,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Ida & Norma s Draperies,Ida & Norma's Draperies,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Dad s All Natural Stuffings-Phila,Dad's All Natural Stuffings-Phila,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Pete s Restaurant & Brewhouse,Pete's Restaurant & Brewhouse,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
TJ s MARKET,TJ'S MARKET,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Rendi s Mudbugs,Rendi's Mudbugs,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Loretta s - Simpay Eats,Loretta's - Simpay Eats,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Allen s Meats LLC,Allen's Meats LLC,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Sweet Lily s LTD,Sweet Lily's LTD,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Mel s Cafe and Catering,Mel's Cafe and Catering,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Jimmy s Place,Jimmy's Place,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Miami Men s,Miami Men's,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Orlando s Best Old Time Photos,Orlando's Best Old Time Photos,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Clark s Lube Express,Clark's Lube Express,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Geno s Garage,Geno's Garage,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Critchley s Candies,Critchley's Candies,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Yazzy s Market Ravena - 53197,Yazzy's Market Ravena - 53197,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Bo s Mobile Fresh Seafood Market,Bo's Mobile Fresh Seafood Market,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Rossi s Pizzeria and Family Restaurant,Rossi's Pizzeria and Family Restaurant,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Jonny s Place,Jonny's Place,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Dillard s Mechanical Specialists,Dillard's Mechanical Specialists,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Ryan s Rail Service Inc,Ryan's Rail Service Inc,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Marroquin s Tree Service Pros,Marroquin's Tree Service Pros,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
Abel s Son Movers LLC,Abel's Son Movers LLC,SKIP_NOT_FOUND_OLD,No customer matched exact Old Name.,B,
