"Amount","LinkedTxn[0].TxnId","LinkedTxn[0].TxnType","Parent_Id","TxnDate","DocNumber","Parent_Entity"
"34.54","46726",Bill,"47646","2025-09-04","11624",BillPayment
"5.23","47033",Bill,"47646","2025-09-04","11624",BillPayment
"35.59","47034",Bill,"47646","2025-09-04","11624",BillPayment
"340.2","47543",Bill,"47645","2025-09-04","11623",BillPayment
"1000.0","47167",Bill,"47644","2025-09-04","11622",BillPayment
"323.01","45986",Bill,"47643","2025-09-04","11621",BillPayment
"42759.6","47554",Bill,"47654","2025-09-04",online,BillPayment
"789.53","47378",Bill,"47672","2025-09-15",online,BillPayment
"23968.5","47766",Bill,"47767","2025-08-26",Online,BillPayment
"837.2","47453",Bill,"47860","2025-09-09","22361",BillPayment
"837.2","47859",Deposit,"47860","2025-09-09","22361",BillPayment
"418.0","47469",Bill,"47863","2025-09-09","11616",BillPayment
"418.0","47862",Deposit,"47863","2025-09-09","11616",BillPayment
"20884.53","47894",Bill,"47896","2025-09-19",Online,BillPayment
"256.0","47899",Bill,"47900","2025-09-19",Online,BillPayment
"9847.91","47905",Bill,"47906","2025-09-19",Online,BillPayment
"150.0","47916",Bill,"47917","2025-09-11",online,BillPayment
"307.98","47266",Bill,"47930","2025-09-10","22392",BillPayment
"558.88","47267",Bill,"47930","2025-09-10","22392",BillPayment
"307.98","47268",Bill,"47930","2025-09-10","22392",BillPayment
"558.88","47269",Bill,"47930","2025-09-10","22392",BillPayment
"325.53","47270",Bill,"47930","2025-09-10","22392",BillPayment
"325.53","47273",Bill,"47930","2025-09-10","22392",BillPayment
"67.82","47956",JournalEntry,"47957","2025-09-10",online,BillPayment
"67.82","12554",VendorCredit,"47957","2025-09-10",online,BillPayment
"169.34","46336",Bill,"47958","2025-09-15",online,BillPayment
"4080.0","47527",Bill,"48002","2025-09-11","22393",BillPayment
"657.0","47851",Bill,"48007","2025-09-11","22399",BillPayment
"200.0","47252",Bill,"48006","2025-09-11","22397",BillPayment
"444.21","47904",Bill,"48005","2025-09-11","22396",BillPayment
"619.08","47797",Bill,"48005","2025-09-11","22396",BillPayment
"196.98","47798",Bill,"48005","2025-09-11","22396",BillPayment
"168.84","47901",Bill,"48005","2025-09-11","22396",BillPayment
"773.85","47855",Bill,"48005","2025-09-11","22396",BillPayment
"154.77","47903",Bill,"48005","2025-09-11","22396",BillPayment
"137.2","47788",Bill,"48004","2025-09-11","22395",BillPayment
"156.0","47793",Bill,"48003","2025-09-11","22394",BillPayment
"1599.26","47526",Bill,"48013","2025-09-11","22404",BillPayment
"339.27","47799",Bill,"48012","2025-09-11","22403",BillPayment
"339.27","47800",Bill,"48012","2025-09-11","22403",BillPayment
"79.0","46904",Bill,"48011","2025-09-11","22402",BillPayment
"1711.0","47576",Bill,"48011","2025-09-11","22402",BillPayment
